DISTRIBUIDORA;ANO;MÊS;DIA;PRODUTO;QUANTIDADE;PREÇO;FATURAMENTO
Distribuidora DF;2015;7;1;PRODUTO A;975;46,4205128205128;45260
Distribuidora DF;2015;7;1;PRODUTO B;1000;28,1666666666667;28166,6666666667
Distribuidora DF;2015;7;1;PRODUTO C;13147;34,837975710555;458014,866666667
Distribuidora DF;2015;8;1;PRODUTO A;1514;46,5444297666226;70468,2666666666
Distribuidora DF;2015;8;1;PRODUTO B;1033;28,2986253630203;29232,48
Distribuidora DF;2015;8;1;PRODUTO C;24333;34,3594816367347;836069,266666667
Distribuidora DF;2015;9;1;PRODUTO A;1023;49,4469208211144;50584,2
Distribuidora DF;2015;9;1;PRODUTO B;1030;30,3798058252427;31291,2
Distribuidora DF;2015;9;1;PRODUTO C;12321;39,5007407407407;486688,626666667
Distribuidora DF;2015;10;1;PRODUTO A;1456;50,0623809523809;72890,8266666667
Distribuidora DF;2015;10;1;PRODUTO B;1192;30,0719798657718;35845,8
Distribuidora DF;2015;10;1;PRODUTO C;24435;39,6114426028238;967905,6
Distribuidora DF;2015;11;1;PRODUTO A;1238;53,0012708669898;65615,5733333333
Distribuidora DF;2015;11;1;PRODUTO B;1381;30,2867970069998;41826,0666666667
Distribuidora DF;2015;11;1;PRODUTO C;24796;39,5482809055224;980639,173333334
Distribuidora DF;2015;12;1;PRODUTO A;1724;52,9452745552978;91277,6533333334
Distribuidora DF;2015;12;1;PRODUTO B;1426;30,6768676951847;43745,2133333333
Distribuidora DF;2015;12;1;PRODUTO C;27454;39,4776285180059;1083818,81333333
Distribuidora DF;2016;1;1;PRODUTO A;1481;53,4619356290795;79177,1266666667
Distribuidora DF;2016;1;1;PRODUTO B;1102;32,4205686630369;35727,4666666667
Distribuidora DF;2016;1;1;PRODUTO C;17314;40,1557826544269;695265,586666667
Distribuidora DF;2016;2;1;PRODUTO A;1459;57,2738588074023;83562,56
Distribuidora DF;2016;2;1;PRODUTO B;1341;34,0315485955754;45636,3066666667
Distribuidora DF;2016;2;1;PRODUTO C;17863;42,6220026497975;761356,833333333
Distribuidora DF;2016;3;1;PRODUTO A;1227;57,5246780766096;70582,78
Distribuidora DF;2016;3;1;PRODUTO B;1308;34,2183231396534;44757,5666666667
Distribuidora DF;2016;3;1;PRODUTO C;15731;43,362502489776;682135,526666667
Distribuidora DF;2016;4;1;PRODUTO A;1429;56,4640727781666;80687,16
Distribuidora DF;2016;4;1;PRODUTO B;1398;33,6180305197902;46998,0066666667
Distribuidora DF;2016;4;1;PRODUTO C;21647;41,9074818681572;907171,26
Distribuidora DF;2016;5;1;PRODUTO A;749;57,096608811749;42765,36
Distribuidora DF;2016;5;1;PRODUTO B;1225;33,5173442176871;41058,7466666667
Distribuidora DF;2016;5;1;PRODUTO C;10079;42,6973469590237;430346,56
Distribuidora DF;2016;6;1;PRODUTO A;1070;57,1536012461059;61154,3533333333
Distribuidora DF;2016;6;1;PRODUTO B;1192;33,8181711409396;40311,26
Distribuidora DF;2016;6;1;PRODUTO C;13739;42,2448281049082;580401,693333333
Distribuidora DF;2016;7;1;PRODUTO A;1184;56,6095945945946;67025,76
Distribuidora DF;2016;7;1;PRODUTO B;1356;33,342866273353;45212,9266666667
Distribuidora DF;2016;7;1;PRODUTO C;17131;41,0034771272352;702430,566666667
Distribuidora DF;2016;8;1;PRODUTO A;1142;56,4096614127262;64419,8333333333
Distribuidora DF;2016;8;1;PRODUTO B;1522;32,7159877354358;49793,7333333333
Distribuidora DF;2016;8;1;PRODUTO C;14171;41,1832996965634;583608,54
Distribuidora DF;2016;9;1;PRODUTO A;1275;56,6015895424837;72167,0266666667
Distribuidora DF;2016;9;1;PRODUTO B;1544;32,2812780656304;49842,2933333333
Distribuidora DF;2016;9;1;PRODUTO C;17465;41,1380150777746;718475,433333333
Distribuidora DF;2016;10;1;PRODUTO A;1087;57,0336093222938;61995,5333333333
Distribuidora DF;2016;10;1;PRODUTO B;1482;32,7393612235717;48519,7333333333
Distribuidora DF;2016;10;1;PRODUTO C;17247;41,2982682537264;712272,953333333
Distribuidora DF;2016;11;1;PRODUTO A;827;62,2997581620314;51521,9
Distribuidora DF;2016;11;1;PRODUTO B;1158;35,3098675877951;40888,8266666667
Distribuidora DF;2016;11;1;PRODUTO C;13446;45,0453916734987;605682,213333333
Distribuidora DF;2016;12;1;PRODUTO A;1207;61,5307428887048;74267,6066666667
Distribuidora DF;2016;12;1;PRODUTO B;1618;35,0949484960857;56783,6266666666
Distribuidora DF;2016;12;1;PRODUTO C;22182;44,165078291708;979669,766666667
Distribuidora DF;2017;1;1;PRODUTO A;735;61,2472743764172;45016,7466666667
Distribuidora DF;2017;1;1;PRODUTO B;1077;35,294658000619;38012,3466666667
Distribuidora DF;2017;1;1;PRODUTO C;9486;44,7706465668705;424694,353333333
Distribuidora DF;2017;2;1;PRODUTO A;796;60,852797319933;48438,8266666667
Distribuidora DF;2017;2;1;PRODUTO B;1250;34,8963093333333;43620,3866666667
Distribuidora DF;2017;2;1;PRODUTO C;16303;43,8252890061134;714483,686666667
Distribuidora DF;2017;3;1;PRODUTO A;732;60,7870947176685;44496,1533333333
Distribuidora DF;2017;3;1;PRODUTO B;1215;34,7157969821673;42179,6933333333
Distribuidora DF;2017;3;1;PRODUTO C;12947;43,8732102675008;568026,453333333
Distribuidora DF;2017;4;1;PRODUTO A;550;60,6630909090909;33364,7
Distribuidora DF;2017;4;1;PRODUTO B;949;34,7713312258518;32997,9933333333
Distribuidora DF;2017;4;1;PRODUTO C;11802;43,4851239902841;513211,433333333
Distribuidora DF;2017;5;1;PRODUTO A;707;60,6737010843941;42896,3066666667
Distribuidora DF;2017;5;1;PRODUTO B;1128;34,5166016548463;38934,7266666667
Distribuidora DF;2017;5;1;PRODUTO C;14540;43,251121045392;628871,3
Distribuidora DF;2017;6;1;PRODUTO A;584;60,4602625570776;35308,7933333333
Distribuidora DF;2017;6;1;PRODUTO B;984;34,5930894308943;34039,6
Distribuidora DF;2017;6;1;PRODUTO C;11281;43,5521508140531;491311,813333333
Distribuidora DF;2017;7;1;PRODUTO A;447;60,8924683072334;27218,9333333333
Distribuidora DF;2017;7;1;PRODUTO B;884;35,0211840120664;30958,7266666667
Distribuidora DF;2017;7;1;PRODUTO C;10900;44,1920740061162;481693,606666667
Distribuidora DF;2017;8;1;PRODUTO A;505;63,8794323432343;32259,1133333333
Distribuidora DF;2017;8;1;PRODUTO B;843;36,9940055357849;31185,9466666667
Distribuidora DF;2017;8;1;PRODUTO C;11965;45,4469329990249;543772,553333333
Distribuidora DF;2017;9;1;PRODUTO A;598;64,7251282051282;38705,6266666667
